Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Mike Williams,,,,,,,,,,Chargers,774.00,374.00,75.00,2.10,36.00,78.00,55.00,57.00,Chargers,"1,001.00",463.00,90.00,2.20,18.00,80.00,51.00,45.00,Chargers,756.00,423.00,84.00,1.80,30.00,66.00,54.00,47.00,Chargers,"1,146.00",534.00,123.00,2.10,54.00,55.00,62.00,61.00,Chargers,895.00,417.00,87.00,2.10,49.00,87.00,53.00,69.00
Mohamed Sanu,Falcons,828.00,451.00,101.00,1.80,34.00,49.00,47.00,38.00,Falcons,838.00,505.00,87.00,1.70,30.00,45.00,62.00,40.00,Patriots,531.00,448.00,85.00,1.20,31.00,44.00,37.00,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Keal Harry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patriots,309.00,261.00,55.00,1.20,41.00,48.00,59.00,47.00,,,,,,,,,,,,,,,,,,
Nelson Agholor,Eagles,935.00,505.00,103.00,1.90,38.00,78.00,57.00,60.00,Eagles,774.00,557.00,90.00,1.40,27.00,42.00,53.00,33.00,Eagles,363.00,365.00,64.00,1.00,37.00,43.00,38.00,32.00,Raiders,896.00,376.00,79.00,2.40,46.00,51.00,58.00,52.00,Patriots,491.00,388.00,59.00,1.30,39.00,59.00,56.00,50.00,,,,,,,,,
Nick Westbrook-Ikhine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Titans,476.00,296.00,54.00,1.60,40.00,52.00,45.00,42.00,Titans,397.00,382.00,49.00,1.00,33.00,40.00,39.00,30.00
Nico Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texans,446.00,319.00,61.00,1.40,32.00,45.00,50.00,36.00,Texans,481.00,258.00,64.00,1.90,51.00,63.00,45.00,55.00
Noah Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowboys,594.00,437.00,74.00,1.40,42.00,59.00,50.00,50.00
Noah Fant,,,,,,,,,,,,,,,,,,,Broncos,562.00,308.00,56.00,1.80,32.00,53.00,60.00,45.00,Broncos,673.00,361.00,83.00,1.90,36.00,35.00,56.00,36.00,Broncos,670.00,390.00,86.00,1.70,45.00,60.00,44.00,49.00,Seahawks,497.00,350.00,62.00,1.40,46.00,66.00,31.00,47.00
O.J. Howard,,,,,,,,,,,,,,,,,,,Buccaneers,459.00,313.00,50.00,1.50,31.00,40.00,44.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odell Beckham,,,,,,,,,,Giants,"1,052.00",421.00,118.00,2.50,67.00,43.00,39.00,53.00,Browns,"1,035.00",472.00,119.00,2.20,57.00,44.00,58.00,55.00,,,,,,,,,,Rams,825.00,462.00,100.00,1.80,86.00,52.00,40.00,69.00,,,,,,,,,
Olamide Zaccheaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falcons,406.00,334.00,52.00,1.20,31.00,32.00,50.00,29.00,Falcons,533.00,329.00,56.00,1.60,55.00,58.00,42.00,54.00
Parris Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colts,623.00,560.00,82.00,1.10,36.00,42.00,50.00,37.00
Pat Freiermuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steelers,522.00,343.00,75.00,1.50,38.00,69.00,60.00,56.00,Steelers,732.00,416.00,94.00,1.80,40.00,44.00,57.00,44.00
Paul Richardson,Seahawks,703.00,473.00,77.00,1.50,45.00,43.00,46.00,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Dorsett,,,,,,,,,,,,,,,,,,,Patriots,403.00,330.00,55.00,1.20,48.00,42.00,41.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
