Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Tyreek Hill,Chiefs,"1,270.00",450.00,96.00,2.80,66.00,58.00,54.00,66.00,Chiefs,"1,593.00",529.00,132.00,3.00,60.00,57.00,62.00,65.00,Chiefs,"1,073.00",416.00,103.00,2.60,53.00,46.00,59.00,54.00,Chiefs,"1,631.00",620.00,151.00,2.60,79.00,50.00,66.00,76.00,Chiefs,"1,524.00",587.00,172.00,2.60,75.00,41.00,52.00,63.00,Dolphins,"1,779.00",547.00,171.00,3.30,85.00,63.00,42.00,75.00
Tyrell Williams,Chargers,728.00,474.00,67.00,1.50,45.00,40.00,51.00,42.00,Chargers,756.00,449.00,69.00,1.70,31.00,60.00,41.00,39.00,Raiders,651.00,356.00,61.00,1.80,54.00,43.00,50.00,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rams,904.00,603.00,99.00,1.50,43.00,43.00,49.00,42.00,,,,,,,,,
Vance McDonald,,,,,,,,,,Steelers,610.00,311.00,57.00,2.00,17.00,50.00,66.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Davis,Commanders,648.00,351.00,65.00,1.80,50.00,46.00,57.00,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Fuller,,,,,,,,,,,,,,,,,,,Texans,759.00,348.00,74.00,2.20,58.00,48.00,47.00,53.00,Texans,879.00,343.00,70.00,2.60,64.00,51.00,56.00,62.00,,,,,,,,,,,,,,,,,,
Willie Snead,,,,,,,,,,Ravens,701.00,430.00,97.00,1.60,55.00,41.00,48.00,47.00,Ravens,395.00,333.00,53.00,1.20,46.00,39.00,56.00,45.00,Ravens,466.00,310.00,54.00,1.50,75.00,48.00,61.00,70.00,,,,,,,,,,,,,,,,,,
Zach Ertz,Eagles,"1,016.00",444.00,127.00,2.30,80.00,76.00,34.00,75.00,Eagles,"1,265.00",543.00,160.00,2.30,73.00,67.00,38.00,68.00,Eagles,960.00,503.00,136.00,1.90,73.00,32.00,44.00,53.00,Eagles,335.00,300.00,67.00,1.10,60.00,17.00,31.00,31.00,Cardinals,784.00,441.00,101.00,1.80,70.00,43.00,45.00,57.00,Cardinals,406.00,331.00,66.00,1.20,46.00,54.00,37.00,43.00
Zach Pascal,,,,,,,,,,,,,,,,,,,Colts,607.00,361.00,67.00,1.70,48.00,33.00,53.00,42.00,Colts,666.00,429.00,67.00,1.60,35.00,36.00,53.00,35.00,Colts,384.00,414.00,63.00,0.90,43.00,18.00,40.00,25.00,,,,,,,,,
Zay Jones,Bills,336.00,446.00,77.00,0.80,37.00,8.00,38.00,16.00,Bills,652.00,480.00,99.00,1.40,57.00,40.00,53.00,50.00,,,,,,,,,,,,,,,,,,,Raiders,607.00,383.00,75.00,1.60,63.00,54.00,40.00,56.00,Jaguars,980.00,588.00,128.00,1.70,62.00,48.00,32.00,48.00
